7.9084 	EXP 	Created Word_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Word_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.9106 	EXP 	Created Wrong_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Wrong_2', opacity=1.0, ori=0, pos=array([ 0. , -0.3]), rgb=array([ 255.,    0.,    0.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
7.9591 	EXP 	Created Instr3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, name='Instr3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.2)
7.9623 	EXP 	Created Instr_Creat_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Creat_3', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Creative', units=u'norm', win=Window(...), wrapWidth=1)
7.9655 	EXP 	Created Instr_or_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Instr_or_3', opacity=1.0, ori=0, pos=array([-0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
7.9684 	EXP 	Created Instr_Bad_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Bad_3', opacity=1.0, ori=0, pos=array([-0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Bad', units=u'norm', win=Window(...), wrapWidth=1)
7.9714 	EXP 	Created Instr_Prac_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Prac_3', opacity=1.0, ori=0, pos=array([ 0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Practical', units=u'norm', win=Window(...), wrapWidth=1)
7.9736 	EXP 	Created Instr_or_3_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='gray', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Instr_or_3_2', opacity=1.0, ori=0, pos=array([ 0.8,  0.7]), rgb=array([ 128.,  128.,  128.]), text=u'or', units=u'norm', win=Window(...), wrapWidth=1)
7.9765 	EXP 	Created Instr_Good_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='limegreen', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Instr_Good_3', opacity=1.0, ori=0, pos=array([ 0.8,  0.6]), rgb=array([  50.,  205.,   50.]), text=u'Good', units=u'norm', win=Window(...), wrapWidth=1)
7.9795 	EXP 	Created Creative_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='skyblue', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='Creative_3', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 135.,  206.,  235.]), text=u'Creative', units=u'norm', win=Window(...), wrapWidth=1)
