21.8949 	EXP 	gabor: autoDraw = False
23.3964 	EXP 	fixation: autoDraw = False
23.3964 	EXP 	gabor: autoDraw = False
23.3964 	EXP 	gabor: color = '[  5.00000000e-09   5.00000000e-09   5.00000000e-09] (rgb)'
23.3964 	EXP 	fixation: autoDraw = True
23.8969 	EXP 	gabor: autoDraw = True
24.3974 	EXP 	fixation: autoDraw = False
24.3974 	EXP 	gabor: autoDraw = False
24.5480 	DATA 	Keypress: up
24.5642 	EXP 	fixation: autoDraw = False
24.5642 	EXP 	gabor: autoDraw = False
24.5642 	EXP 	gabor: color = '[  5.00000000e-09   5.00000000e-09   5.00000000e-09] (rgb)'
24.5642 	EXP 	fixation: autoDraw = True
25.0815 	EXP 	gabor: autoDraw = True
25.5652 	EXP 	fixation: autoDraw = False
25.5652 	EXP 	gabor: autoDraw = False
25.6325 	DATA 	Keypress: up
25.6487 	EXP 	fixation: autoDraw = False
25.6487 	EXP 	gabor: autoDraw = False
25.6487 	EXP 	gabor: color = '[  5.00000000e-09   5.00000000e-09   5.00000000e-09] (rgb)'
25.6487 	EXP 	fixation: autoDraw = True
26.1658 	EXP 	gabor: autoDraw = True
26.6336 	DATA 	Keypress: up
26.6497 	EXP 	fixation: autoDraw = False
26.6497 	EXP 	gabor: autoDraw = False
26.6497 	EXP 	fixation: autoDraw = False
26.6497 	EXP 	gabor: autoDraw = False
26.6497 	EXP 	gabor: color = '[  1.99053585e-09   1.99053585e-09   1.99053585e-09] (rgb)'
26.6497 	EXP 	fixation: autoDraw = True
27.1669 	EXP 	gabor: autoDraw = True
27.6506 	EXP 	fixation: autoDraw = False
27.6506 	EXP 	gabor: autoDraw = False
29.1521 	EXP 	fixation: autoDraw = False
29.1521 	EXP 	gabor: autoDraw = False
29.1521 	EXP 	gabor: color = '[  5.00000000e-09   5.00000000e-09   5.00000000e-09] (rgb)'
29.1521 	EXP 	fixation: autoDraw = True
29.6527 	EXP 	gabor: autoDraw = True
29.9870 	DATA 	Keypress: up
30.0031 	EXP 	fixation: autoDraw = False
30.0031 	EXP 	gabor: autoDraw = False
30.0031 	EXP 	gabor: color = '[  5.00000000e-09   5.00000000e-09   5.00000000e-09] (rgb)'
30.0031 	EXP 	fixation: autoDraw = True
30.5202 	EXP 	gabor: autoDraw = True
30.5877 	DATA 	Keypress: up
30.6036 	EXP 	fixation: autoDraw = False
30.6036 	EXP 	gabor: autoDraw = False
30.6036 	EXP 	gabor: color = '[  5.00000000e-09   5.00000000e-09   5.00000000e-09] (rgb)'
30.6036 	EXP 	fixation: autoDraw = True
31.1209 	EXP 	gabor: autoDraw = True
31.2383 	DATA 	Keypress: up
31.2543 	EXP 	fixation: autoDraw = False
31.2543 	EXP 	gabor: autoDraw = False
31.2543 	EXP 	gabor: color = '[  3.15478672e-09   3.15478672e-09   3.15478672e-09] (rgb)'
31.2543 	EXP 	fixation: autoDraw = True
31.7714 	EXP 	gabor: autoDraw = True
32.2552 	EXP 	fixation: autoDraw = False
32.2552 	EXP 	gabor: autoDraw = False
32.7563 	DATA 	Keypress: up
32.7724 	EXP 	fixation: autoDraw = False
